scenario,language,test,mode,iteration,time,pkg,cores,gpu,dram,psys,cycles,cache_misses,branch_misses,ended
n-body,c,O3,internal,21,2118201243,93.33001708984375,69.892578125,,1.1790771484375,,5524238,123,69,1761751131155550
n-body,c,O3,internal,22,2097199128,92.8184814453125,69.615478515625,,1.16729736328125,,5565631,109,117,1761751133252765
n-body,c,O3,internal,23,2121811394,94.10455322265625,70.61187744140625,,1.181640625,,5577913,106,56,1761751135374579
n-body,c,O3,internal,24,2134253253,95.1435546875,71.48736572265625,,1.187744140625,,5482415,3,38,1761751137508831
n-body,c,O3,internal,25,2107947071,93.71490478515625,70.38092041015625,,1.174560546875,,5426946,198,77,1761751139616771
n-body,c,O3,internal,26,2119245176,94.27447509765625,70.82958984375,,1.178955078125,,5460448,26,20,1761751141736029
n-body,c,O3,internal,27,2093937719,92.3809814453125,69.20269775390625,,1.1658935546875,,5442737,160,122,1761751143829961
n-body,c,O3,internal,28,2107252796,92.8182373046875,69.5028076171875,,1.17279052734375,,5436288,106,41,1761751145937218
n-body,c,O3,internal,29,2094271224,91.625732421875,68.4559326171875,,1.16571044921875,,5550875,101,102,1761751148031476
n-body,c,O3,internal,30,2132465358,94.93975830078125,71.35638427734375,,1.1868896484375,,5539780,112,611,1761751150163961
n-body,c,O3,internal,31,2087995932,91.0318603515625,67.91973876953125,,1.16156005859375,,5560898,32,30,1761751152251960
n-body,c,O3,internal,32,2089744505,92.51666259765625,69.4217529296875,,1.16351318359375,,5479591,136,647,1761751154341705
n-body,c,O3,internal,33,2132292025,94.874755859375,71.2850341796875,,1.18609619140625,,5439185,34,32,1761751156474024
n-body,c,O3,internal,34,2128402566,94.90655517578125,71.36474609375,,1.1845703125,,5540630,87,703,1761751158602412
n-body,c,O3,internal,35,2132268355,95.1541748046875,71.56500244140625,,1.18695068359375,,5508684,89,35,1761751160734701
n-body,c,O3,internal,36,2127466955,94.8436279296875,71.31329345703125,,1.18402099609375,,5554676,100,121,1761751162862158
n-body,c,O3,internal,37,2137040663,95.40966796875,71.75494384765625,,1.189697265625,,5498755,69,40,1761751164999213
n-body,c,O3,internal,38,2118207080,93.42779541015625,69.99310302734375,,1.1783447265625,,5517397,68,40,1761751167117410
n-body,c,O3,internal,39,2110617459,93.9281005859375,70.54852294921875,,1.1759033203125,,5496322,135,119,1761751169228030
n-body,c,O3,internal,40,2090471131,91.94439697265625,68.8240966796875,,1.163818359375,,5422449,127,57,1761751171318475
n-body,c,O3,internal,41,2119581613,94.56585693359375,71.0888671875,,1.18017578125,,5446329,139,74,1761751173438089
n-body,c,O3,internal,42,2132187561,95.2286376953125,71.63446044921875,,1.18695068359375,,5543640,107,137,1761751175570282
n-body,c,O3,internal,43,2123929932,94.69720458984375,71.1881103515625,,1.18218994140625,,5545898,7,43,1761751177694222
n-body,c,O3,internal,44,2098744310,92.59075927734375,69.34686279296875,,1.16943359375,,5590958,245,1590,1761751179792962
n-body,c,O3,internal,45,2116525964,94.3780517578125,70.9276123046875,,1.17779541015625,,5583248,4,40,1761751181909473
n-body,c,O3,internal,46,2096210030,92.4488525390625,69.2578125,,1.1668701171875,,5472625,105,58,1761751184005705
n-body,c,O3,internal,47,2114677465,94.2894287109375,70.86865234375,,1.17724609375,,5421175,17,24,1761751186120406
n-body,c,O3,internal,48,2099507538,92.10711669921875,68.84649658203125,,1.16912841796875,,5553005,180,76,1761751188219898
n-body,c,O3,internal,49,2127192019,94.693359375,71.1568603515625,,1.18408203125,,5477536,135,67,1761751190347091
n-body,c,O3,internal,50,2081667033,92.21441650390625,69.1578369140625,,1.158203125,,5534520,6,38,1761751192428771
n-body,c,O3,external,1,2102897359,92.7657470703125,69.48370361328125,,1.1734619140625,,5562614,313,103,1761751254651832
n-body,c,O3,external,2,2132403269,94.39373779296875,70.76776123046875,,1.18707275390625,,5631867,10,29,1761751256785021
n-body,c,O3,external,3,2126390409,94.56365966796875,71.045654296875,,1.1846923828125,,5620019,162,1335,1761751258912100
n-body,c,O3,external,4,2122167277,94.37786865234375,70.8963623046875,,1.1820068359375,,5551600,102,102,1761751261035154
n-body,c,O3,external,5,2112565551,93.1253662109375,69.7266845703125,,1.17669677734375,,5576801,120,132,1761751263148494
n-body,c,O3,external,6,2132638857,94.80853271484375,71.23040771484375,,1.18707275390625,,5535292,36,76,1761751265281898
n-body,c,O3,external,7,2116507778,93.64111328125,70.19921875,,1.17791748046875,,5630459,34,54,1761751267399246
n-body,c,O3,external,8,2159012747,95.75628662109375,71.85882568359375,,1.20294189453125,,5698431,176,160,1761751269558966
n-body,c,O3,external,9,2106621114,93.39678955078125,70.0657958984375,,1.1727294921875,,5560490,19,69,1761751271666345
n-body,c,O3,external,10,2107457374,93.49853515625,70.19036865234375,,1.17315673828125,,5549973,76,65,1761751273774577
n-body,c,O3,external,11,2123650258,94.49072265625,70.9718017578125,,1.1829833984375,,5627909,126,86,1761751275899025
n-body,c,O3,external,12,2138037688,94.7742919921875,71.11279296875,,1.19049072265625,,5617136,157,315,1761751278037898
n-body,c,O3,external,13,2097925077,92.0662841796875,68.84063720703125,,1.1683349609375,,5550500,165,198,1761751280136671
n-body,c,O3,external,14,2091327362,91.2095947265625,68.07611083984375,,1.1634521484375,,5628225,31,609,1761751282228735
n-body,c,O3,external,15,2117041104,92.09130859375,68.6632080078125,,1.1787109375,,5484969,107,83,1761751284346525
n-body,c,O3,external,16,2094048021,92.22662353515625,69.04803466796875,,1.1661376953125,,5502707,122,310,1761751286441345
n-body,c,O3,external,17,2106983956,92.75335693359375,69.42578125,,1.17340087890625,,5554645,84,96,1761751288549154
n-body,c,O3,external,18,2101296612,93.0916748046875,69.84619140625,,1.1700439453125,,5485844,111,40,1761751290651250
n-body,c,O3,external,19,2108391445,93.6732177734375,70.35382080078125,,1.17291259765625,,5435912,13,28,1761751292760474
n-body,c,O3,external,20,2111557988,93.575927734375,70.18994140625,,1.17706298828125,,5515872,239,150,1761751294872736
n-body,c,O3,external,21,2142519766,95.88275146484375,72.190673828125,,1.19183349609375,,5622568,5,24,1761751297016085
n-body,c,O3,external,22,2119199050,94.67645263671875,71.22796630859375,,1.18963623046875,,5640787,718,408,1761751299135994
n-body,c,O3,external,23,2094848221,93.06256103515625,69.8743896484375,,1.16802978515625,,5465489,181,134,1761751301231770
n-body,c,O3,external,24,2091437705,92.25823974609375,69.0870361328125,,1.1651611328125,,5528531,109,185,1761751303324056
n-body,c,O3,external,25,2144873142,95.80389404296875,72.0572509765625,,1.19427490234375,,5619074,93,106,1761751305469765
n-body,c,O3,external,26,2103374952,92.395263671875,69.08367919921875,,1.1708984375,,5550747,17,84,1761751307573797
n-body,c,O3,external,27,2122101425,94.4056396484375,70.92230224609375,,1.18231201171875,,5525885,210,89,1761751309696703
n-body,c,O3,external,28,2086857494,91.27557373046875,68.17388916015625,,1.1612548828125,,5572985,55,120,1761751311784346
n-body,c,O3,external,29,2120937671,91.74896240234375,68.27532958984375,,1.18096923828125,,5822462,115,101,1761751313905966
n-body,c,O3,external,30,2118925671,94.271728515625,70.8134765625,,1.18023681640625,,5511131,125,131,1761751316025606
n-body,c,O3,external,31,2129932166,94.71478271484375,71.1363525390625,,1.18597412109375,,5648617,76,76,1761751318156346
n-body,c,O3,external,32,2110428424,93.80328369140625,70.4638671875,,1.175048828125,,5566568,105,143,1761751320267440
n-body,c,O3,external,33,2129039352,94.500732421875,70.94012451171875,,1.1846923828125,,5578412,51,64,1761751322397346
n-body,c,O3,external,34,2094133010,92.45233154296875,69.28289794921875,,1.16607666015625,,5506063,116,116,1761751324492155
n-body,c,O3,external,35,2102632690,93.49951171875,70.211669921875,,1.171142578125,,5499418,72,156,1761751326595608
n-body,c,O3,external,36,2102632697,93.56317138671875,70.3162841796875,,1.17034912109375,,5534593,71,101,1761751328699025
n-body,c,O3,external,37,2129203400,95.17987060546875,71.62738037109375,,1.18572998046875,,5493266,142,87,1761751330829056
n-body,c,O3,external,38,2096772684,93.373046875,70.1610107421875,,1.16680908203125,,5495540,9,110,1761751332926640
n-body,c,O3,external,39,2127302269,94.65716552734375,71.12213134765625,,1.18505859375,,5607618,204,244,1761751335054607
n-body,c,O3,external,40,2123774705,94.7486572265625,71.23455810546875,,1.18170166015625,,5608182,24,106,1761751337179152
n-body,c,O3,external,41,2118964061,94.01519775390625,70.55950927734375,,1.179931640625,,5642259,98,187,1761751339298862
n-body,c,O3,external,42,2186184988,90.596435546875,66.407470703125,,1.21710205078125,,6795766,104,103,1761751341485778
n-body,c,O3,external,43,2116514223,94.263916015625,70.8660888671875,,1.17840576171875,,5546220,135,151,1761751343603121
n-body,c,O3,external,44,2127398565,94.0057373046875,70.476318359375,,1.1844482421875,,5737017,130,136,1761751345731283
n-body,c,O3,external,45,2105688325,93.76336669921875,70.44537353515625,,1.1719970703125,,5664905,16,110,1761751347837731
n-body,c,O3,external,46,2130574197,95.6412353515625,72.08709716796875,,1.18682861328125,,5524538,147,1403,1761751349968926
n-body,c,O3,external,47,2082430265,92.0787353515625,69.00408935546875,,1.15911865234375,,5627622,18,72,1761751352052116
n-body,c,O3,external,48,2121688276,95.29376220703125,71.839599609375,,1.18084716796875,,5492894,74,78,1761751354174577
n-body,c,O3,external,49,2101996280,93.39544677734375,70.128173828125,,1.170654296875,,5462451,135,95,1761751356277350
n-body,c,O3,external,50,2092137672,93.06207275390625,69.91217041015625,,1.16497802734375,,5609909,118,185,1761751358370245
fannkuch-redux,c,O3,internal,1,3040457469,343.4676513671875,309.839111328125,,1.69439697265625,,6559655,255,2250,1761751421558607
fannkuch-redux,c,O3,internal,2,3162153861,347.1895751953125,312.12994384765625,,1.761962890625,,6812542,101,2401,1761751424720779
fannkuch-redux,c,O3,internal,3,3092533288,345.21197509765625,310.99237060546875,,1.72137451171875,,6595875,151,2266,1761751427813315
fannkuch-redux,c,O3,internal,4,3165396261,347.227294921875,312.19415283203125,,1.76324462890625,,6845860,207,2313,1761751430978713
fannkuch-redux,c,O3,internal,5,3057304216,344.9488525390625,311.07135009765625,,1.70245361328125,,6616091,180,2947,1761751434036022
fannkuch-redux,c,O3,internal,6,3096722560,344.5745849609375,310.31585693359375,,1.72344970703125,,6532600,71,2132,1761751437132751
fannkuch-redux,c,O3,internal,7,3326920621,291.685791015625,254.8494873046875,,1.85308837890625,,6846134,259,2307,1761751440459670
fannkuch-redux,c,O3,internal,8,3582327206,233.41680908203125,193.780029296875,,1.994140625,,7430393,174,2011,1761751444042000
fannkuch-redux,c,O3,internal,9,3577933500,231.95123291015625,192.3323974609375,,1.99169921875,,7526151,136,2279,1761751447619938
fannkuch-redux,c,O3,internal,10,3588946412,232.32501220703125,192.60345458984375,,1.9986572265625,,7357815,193,1837,1761751451208888
fannkuch-redux,c,O3,internal,11,3596428734,233.0762939453125,193.23162841796875,,2.0020751953125,,7493210,81,1895,1761751454805325
fannkuch-redux,c,O3,internal,12,3602102559,233.45965576171875,193.58074951171875,,2.0057373046875,,7437576,248,2239,1761751458407422
fannkuch-redux,c,O3,internal,13,3607588069,233.99627685546875,194.04931640625,,2.00830078125,,7411302,108,2728,1761751462015025
fannkuch-redux,c,O3,internal,14,3616204119,234.7183837890625,194.64959716796875,,2.01422119140625,,7457250,159,2306,1761751465631230
fannkuch-redux,c,O3,internal,15,3626111459,235.3939208984375,195.26336669921875,,2.01922607421875,,7635628,174,2842,1761751469257345
fannkuch-redux,c,O3,internal,16,3608929828,234.704833984375,194.74737548828125,,2.00933837890625,,7468995,178,2215,1761751472866278
fannkuch-redux,c,O3,internal,17,3615377346,235.12384033203125,195.06878662109375,,2.01397705078125,,7629862,206,2467,1761751476481656
fannkuch-redux,c,O3,internal,18,3582154575,233.2237548828125,193.5679931640625,,1.99517822265625,,7298651,229,2047,1761751480063811
fannkuch-redux,c,O3,internal,19,3619561334,233.95550537109375,193.862548828125,,2.0150146484375,,7444840,136,1926,1761751483683384
fannkuch-redux,c,O3,internal,20,3605075981,234.55548095703125,194.65411376953125,,2.00738525390625,,7397223,93,2265,1761751487288446
fannkuch-redux,c,O3,internal,21,3594959914,233.71429443359375,193.9163818359375,,2.0020751953125,,7474671,221,2077,1761751490883410
fannkuch-redux,c,O3,internal,22,3638818585,234.56256103515625,194.279541015625,,2.027587890625,,7303069,267,2553,1761751494522249
fannkuch-redux,c,O3,internal,23,3628199374,236.46295166015625,196.25079345703125,,2.0267333984375,,7564514,446,2416,1761751498150433
fannkuch-redux,c,O3,internal,24,3617951722,235.15362548828125,195.09100341796875,,2.01611328125,,7587444,244,2872,1761751501768407
fannkuch-redux,c,O3,internal,25,3591108364,234.0472412109375,194.29022216796875,,2.0028076171875,,7643532,367,3060,1761751505359520
fannkuch-redux,c,O3,internal,26,3633735788,234.501953125,194.27685546875,,2.02294921875,,7582628,99,1925,1761751508993269
fannkuch-redux,c,O3,internal,27,3688911201,237.99481201171875,197.132568359375,,2.05340576171875,,7682780,121,1973,1761751512682184
fannkuch-redux,c,O3,internal,28,3608292061,236.31475830078125,196.33807373046875,,2.010009765625,,7486036,221,2535,1761751516290477
fannkuch-redux,c,O3,internal,29,3595866029,233.76153564453125,193.95074462890625,,2.00177001953125,,7332946,119,2314,1761751519886348
fannkuch-redux,c,O3,internal,30,3634217203,234.80438232421875,194.56488037109375,,2.0234375,,7412685,155,2131,1761751523520570
fannkuch-redux,c,O3,internal,31,3621838819,235.9571533203125,195.8953857421875,,2.01568603515625,,7642219,190,2588,1761751527142411
fannkuch-redux,c,O3,internal,32,3625766263,235.086181640625,194.9803466796875,,2.01910400390625,,7529665,230,2728,1761751530768191
fannkuch-redux,c,O3,internal,33,3581771458,233.8653564453125,194.2454833984375,,1.993408203125,,7427082,123,2128,1761751534349965
